ssn, name, role, rank, address, mobile number,email
1600904199, Sherry Walker, Cabin crew, Flight Service Manager, Midvangur 3 110, 8764492, SherryWalkerr@gmail.com
0303758167, Margarita Fischer, Cabin crew, Flight Service Manager, Hvitabrekka 3 201, 7769809, MargaritaFishh@gmail.com
2200763823, Judith Aleshire, Cabin crew, Flight Service Manager, Tjarnargata 9 220, 6577880, JudithAleshiree@gmail.com
1308941169, Jacob Blecha, Cabin crew, Flight Service Manager, Hagatorg 19 101, 7443957, JacobBlecha@gmail.com
1405853585, Lula Stefani, Cabin crew, Flight Service Manager, Bústaðarvegur 10 103, 8990045, LulaStefanii@gmail.com
0909862878, Richard Sanders, Cabin crew, Flight Service Manager, Vallagarður 2 220, 6612398, RichardSand@gmail.com
1811931544, JohnK line, Cabin crew, Flight Service Manager, Hliðarvegur 7 108, 8812450, JohnKline9@gmail.com
0409858797, Evelyn Pickhardt, Cabin crew, Flight Service Manager, Eiðistorg 15 107, 8900210, EvelynPickhardt@gmail.com
3003962187, Delores Whitfield, Cabin crew, Flight Attendant, Hraunberg 11 109, 8601836, DeloresWhitfi@gmail.com
1311772221, Maribel Lucero, Cabin crew, Flight Attendant, Vikurbakki 2 109, 8821324, MaribelLucc@gmail.com
2509913418, Katherine Wernimont, Cabin crew, Flight Attendant, Hverafold 1 112, 8901234, KatherineWerni@gmail.com
1103647756, Wilma Horne, Cabin crew, Flight Attendant, Siðumuli 6 108, 7110923, Wilmahorne11@gmail.com
2807755841, Bernard Carr, Cabin crew, Flight Attendant, Haholt 12 270, 6557490, BernardCarr@gmail.com
0409907212, Sara Davis, Cabin crew, Flight Attendant, Vikurbraut 25 240, 7712009, SaraDavis33@gmail.com
1103912131, RobertS wope, Cabin crew, Flight Attendant, Garðarbraut 69 250, 8632038, RobertSwopee@gmail.com
2801645554, John Iversen, Cabin crew, Flight Attendant, Hafnargata 25 230, 7019203, JohnIversen@gmail.com
1501681497, Rhonda Forman, Cabin crew, Flight Attendant, Vikurbraut 13 230, 7710934, RhondaForman@gmail.com
1811813379, Melissa Paquette, Cabin crew, Flight Attendant, Krossmoi 1 260, 6609283, MelissaPaq@gmail.com
0505942924, Carlton Chan, Cabin crew, Flight Attendant, Hafnargata 225 230, 6091123, CarltonChan@gmail.com
1110732819, Arthur Karr, Cabin crew, Flight Attendant, Vatnsnesvegur 16 230, 6577865, ArthurKarr@gmail.com
2602806942, Teresa Thruman, Cabin crew, Flight Attendant, Heiðarholt 6 230, 8901123, TeresaThurman@gmail.com
1107951952, Elizabeth Mcfadden, Cabin crew, Flight Attendant, Kirkjuvegur 13 230, 8112045, ElizabethMc@gmail.com
2307675436, Hallmar Ingolfsson, Cabin crew, Flight Attendant, Hraungata 25 786, 7864535, Halli@hotmail.com
2304894567, Nina Asmundardottir, Cabin crew, Flight Service Manager, Gylfaflotur 5 203, 7865434, Nina@gmail.com
2505953765, Mary Shawn, Cabin crew, Flight Service Manager, Langaholt 35 220, 5657823, marysaeta@hotmail.com
1701728949, Georg Mike, Cabin crew, Flight Attendant, Hamarvegur 23 220, 8903456, georg@gmail.com
3002688722, Jessica Parker, Cabin crew, Flight Attendant, Maurbrun 45 210, 9037834, jessica_parker@gmail.com
