ssn, name, role, rank, plane license, address, mobile number, email
3009907461, William Carillo, Pilot, Captain, NAFokkerF100, Lundur 12 200, 8958422, Williamca@gmail.com
2910858778, Virginia Ho, Pilot, Captain, NABAE146, Birkigrund 5 200, 7612431, HoVirginia@gmail.com
2706838569, Gerard Nelson, Pilot, Captain, NAFokkerF100, Storhofdi 2 102, 8760098, GerardNel1@gmail.com
2209955782, Allen Ley, Pilot, Captain, NABAE146, Sudurgata 89 220, 6666666, Leyallen3@gmail.com
2907675667, Felecia Moye, Pilot, Captain, NABAE146, Tonglabakki 20 109, 8104936, FeleciaMo9@gmail.com
1309797899, Tyler Anderson, Pilot, Captain, NAFokkerF28, Hverafold 2 112, 7970649, TyAnderson@gmail.com
2410876598, Nan Gage, Pilot, Copilot, NAFokkerF100, Fjardargata 11 220, 7640926, NanGage12@gmail.com
2211658134, Charla Johnson, Pilot, Copilot, NABAE146, Litlatun 3 2010, 8173057, CharlaJohns@gmail.com
2504939263, Sam Preciado, Pilot, Copilot, NABAE146, Dalvegur 17 201, 8121436, SamPrecc@gmail.com
1900769521, Jasmine Hagadone, Pilot, Copilot, NABAE146, Haukalind 5 201, 6597646, JasmineHagad@gmail.com
2500812671, Anna Phillips, Pilot, Copilot, NAFokkerF28, Digranesvegur 24 200, 6670351, AnnaPhills@gmail.com
1309927223, Patricia Bates, Pilot, Copilot, NAFokkerF28, Haholt 8 270, 6680482, PatriciaBates99@gmail.com
1807894119, Anna Page, Pilot, Captain, NAFokkerF28, Oldugata 17 220, 8984232, AnnaPage@gmail.com
2206962343, Sigurdur Tryggvason, Pilot, Copilot, Nafokkerf100, Studlaberg 16 221, 7658787, Siggi22@msn.com
1809765645, Unnur Hall, Pilot, Captain, NaFokker134, Haukalind 9 201, 7879898, Unnur@hotmail.com
2304981234, Massa Dodo, Pilot, Captain, NaFokker121, Halli 19 123, 1346445, Massa@gidj.com
0912992222, Aron Birgisson, Pilot, Captain, NAFokkerF28, Dsf 8 200, 8493029, vdfs@gmail.coom
2411923689, Hallmar Sigurdsson, Pilot, Copilot, NAFokker134, Hraunvangur 2 210, 8573529, hallmar@gmail.com
0903961243, Sigrun Hallmarsdottir, Pilot, Captain, NAFokker192, Midbraut 10 110, 9875643, sigrun@gmail.com
0804893425, Run Sigurdardottir, Pilot, Copilot, NAFokker192, Langabraut 8 220, 7674532, run@gmail.com
0709873454, Hildur Arnardottir, Pilot, Captain, NAFokker156, Holtabraut 5 110, 8993454, hildur@gmail.com
1209912345, Arnar Juliusson, Pilot, Copilot, NAFokker156, Kaldahraun 8 210, 7896775, arnar@gmail.com
1305893290, Maria Brynjarsdottir, Pilot, Captain, NAFokker122, Langaholt 9 110, 9986754, maria@gmail.com
0608864532, Brynjar Andrason, Pilot, Copilot, NAFokker122, Mariustigur 10 220, 8779065, brynjar@gmail.com
